# Fermi Energy: 6.456943
# Segment boundaries (k-distance): 0.000000 0.866000 1.866000 2.219600 3.280200
# Segment labels: L $\Gamma$ X K $\Gamma$
    0.4850     3.0155
    0.5023     3.2044
    0.5196     3.3931
    0.5369     3.5823
    0.5542     3.7749
    0.5716     3.9649
    0.5889     4.1569
    0.6062     4.3470
    0.6235     4.5382
    0.6409     4.7292
    0.6582     4.9147
    0.6755     5.0984
    0.6928     5.2784
    0.7101     5.4577
    0.7275     5.6275
    0.7448     5.7860
    0.7621     5.9403
    0.7794     6.0769
    0.7967     6.2000
    0.8141     6.2998
    0.8314     6.3730
    0.8487     6.4193
    0.8660     6.4332
    0.8660     6.4332
    0.8860     6.4239
    0.9060     6.3917
    0.9260     6.3313
    0.9460     6.2566
    0.9660     6.1594
    0.9860     6.0515
    1.0060     5.9285
    1.0260     5.7943
    1.0460     5.6535
    1.0660     5.5045
    1.0860     5.3531
    1.1060     5.1895
    1.1260     5.0276
    1.1460     4.8569
    1.1660     4.6890
    1.1860     4.5146
    1.2060     4.3448
    1.2260     4.1653
    1.2460     3.9883
    1.2660     3.8079
    1.2860     3.6319
    1.3060     3.4506
    1.3260     3.2743
    1.3460     3.0883
    1.3660     2.9061
    1.3860     2.7257
    1.4060     2.5426
    1.4260     2.3597
    1.4460     2.1781
    1.4660     1.9969
    1.4860     1.8156
    1.5060     1.6331
    1.5260     1.4530
    1.5460     1.2718
    1.5660     1.0923
    1.5860     0.9131
    1.6060     0.7346
    1.6260     0.5577
    1.6460     0.3815
    1.6660     0.2088
    1.6860     0.0336
    1.7060    -0.1394
    1.7260    -0.3104
    1.7460    -0.4797
    1.7660    -0.6466
    1.7860    -0.8130
    1.8060    -0.9782
    1.8260    -1.1396
    1.8460    -1.2991
    1.8660    -1.4556
    1.8731    -1.4529
    1.8801    -1.4550
    1.8872    -1.4566
    1.8943    -1.4541
    1.9014    -1.4519
    1.9084    -1.4493
    1.9155    -1.4458
    1.9226    -1.4435
    1.9296    -1.4390
    1.9367    -1.4339
    1.9438    -1.4299
    1.9509    -1.4252
    1.9579    -1.4191
    1.9650    -1.4126
    1.9721    -1.4018
    1.9791    -1.3960
    1.9862    -1.3902
    1.9933    -1.3818
